CG
Line A: Structure Position, Actual Response - Global X (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, Actual Response - Global Y (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line C: Structure Position, Actual Response - Global Z (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]

*Time (s),Line A (m),Line B (m),Line C (m)
0.0,2.31270005315309E-05,-1.62779993843287E-04,0.0
0.1,-5.20825997227803E-05,-1.34237692691386E-04,-3.69482120731845E-04
0.2,-2.95226054731756E-04,-5.57884995942004E-05,-1.47520564496517E-03
0.3,-7.29753111954778E-04,6.11393770668656E-05,-3.31338006071746E-03
0.4,-1.37518439441919E-03,2.04470692551695E-04,-5.88055327534676E-03
0.5,-2.24696262739599E-03,3.61599260941148E-04,-9.17355809360743E-03
0.6,-3.35676898248494E-03,5.19250927027315E-04,-0.013189610093832
0.7,-4.71247406676412E-03,6.63969316519797E-04,-1.79263204336166E-02
0.8,-6.31703715771437E-03,7.84693809691817E-04,-2.33817268162966E-02
0.9,-8.16896930336952E-03,8.69903946295381E-04,-2.95542720705271E-02
1,-1.02628134191036E-02,9.07880370505154E-04,-3.64427231252193E-02
1.1,-1.25893903896213E-02,8.89614457264543E-04,-4.40461933612823E-02
1.2,-1.51356505230069E-02,8.06318828836083E-04,-5.23642599582672E-02
1.3,-1.78844835609198E-02,6.5074919257313E-04,-6.13964460790157E-02
1.4,-2.08169780671597E-02,4.1695183608681E-04,-7.11416751146317E-02
1.5,-2.39117667078972E-02,1.01393583463505E-04,-8.15987065434456E-02
1.6,-2.71441210061312E-02,-2.97621154459193E-04,-9.27663818001747E-02
1.7,-3.04879397153854E-02,-7.80401518568397E-04,-0.104643173515797
1.8,-3.39157171547413E-02,-1.34523783344775E-03,-0.117226392030716
1.9,-3.73984090983868E-02,-1.98886264115572E-03,-0.130512461066246
2,-4.09060530364513E-02,-2.70605366677046E-03,-0.144497111439705
2.1,-4.44080606102943E-02,-3.49015463143587E-03,-0.159175023436546
2.2,-4.78744059801102E-02,-4.33317106217146E-03,-0.17453944683075
2.3,-5.12757934629917E-02,-5.22608822211623E-03,-0.19058221578598
2.4,-0.054583553224802,-6.15843944251537E-03,-0.20729398727417
2.5,-5.77704571187496E-02,-7.11938925087452E-03,-0.224664121866226
2.6,-0.060811422765255,-8.09723883867264E-03,-0.242680430412292
2.7,-6.36839419603348E-02,-9.08080581575632E-03,-0.261329084634781
2.8,-6.63685277104378E-02,-1.00586721673608E-02,-0.280594706535339
2.9,-6.88489675521851E-02,-1.10193565487862E-02,-0.300459951162338
3,-7.11123794317245E-02,-1.19525911286473E-02,-0.320905357599258
3.1,-7.31501802802086E-02,-0.012848705984652,-0.341909825801849
3.2,-7.49576166272163E-02,-1.36987352743745E-02,-0.36345100402832
3.3,-0.076534241437912,-1.44955106079578E-02,-0.385505139827728
3.4,-7.78843387961388E-02,-1.52329439297318E-02,-0.408046364784241
3.5,-7.90161192417145E-02,-1.59062929451466E-02,-0.431047081947327
3.6,-7.99417942762375E-02,-1.65122728794813E-02,-0.454478800296783
3.7,-8.06775316596031E-02,-1.70490238815546E-02,-0.478311598300934
3.8,-8.12431275844574E-02,-1.75166185945272E-02,-0.502514183521271
3.9,-8.16616863012314E-02,-1.79166197776794E-02,-0.527054131031036
4,-8.19592475891113E-02,-1.82518605142832E-02,-0.551897943019867
4.1,-8.21642279624939E-02,-1.85268186032772E-02,-0.577011585235596
4.2,-8.23069512844086E-02,-1.87471937388182E-02,-0.602360308170319
4.3,-8.24193581938744E-02,-0.018919488415122,-0.627908885478973
4.4,-8.25346261262894E-02,-1.90510973334312E-02,-0.653621077537537
4.5,-0.082686647772789,-1.91501826047897E-02,-0.679460823535919
4.6,-8.29095542430878E-02,-1.92251056432724E-02,-0.705391764640808
4.7,-8.32370594143867E-02,-1.92846264690161E-02,-0.73137754201889
4.8,-8.37021842598915E-02,-1.93378105759621E-02,-0.757382154464722
4.9,-8.43367874622345E-02,-1.93932186812162E-02,-0.783369719982147
5,-8.51712301373482E-02,-1.94595027714968E-02,-0.80930495262146
5.1,-8.62341076135635E-02,-1.95442736148834E-02,-0.835153043270111
5.2,-0.087551586329937,-1.96546725928783E-02,-0.860879838466644
5.3,-8.91470313072205E-02,-0.01979717053473,-0.88645213842392
5.4,-9.10411030054092E-02,-1.99770499020815E-02,-0.911837518215179
5.5,-9.32510197162628E-02,-2.01982688158751E-02,-0.937004745006561
5.6,-9.57904756069183E-02,-2.04633120447397E-02,-0.961923480033875
5.7,-9.86689999699593E-02,-2.07735784351826E-02,-0.986564695835114
5.8,-0.101892076432705,-2.11294163018465E-02,-1.01090061664581
5.9,-0.105460658669472,-2.15296670794487E-02,-1.03490471839905
6,-0.109370782971382,-2.19717975705862E-02,-1.05855178833008
6.1,-0.113613456487656,-2.24521514028311E-02,-1.08181822299957
6.2,-0.118174538016319,-2.29659080505371E-02,-1.10468196868896
6.3,-0.123034566640854,-2.35072840005159E-02,-1.12712216377258
6.4,-0.128169253468513,-2.40694992244244E-02,-1.14911961555481
6.5,-0.133549407124519,-2.46453303843737E-02,-1.17065680027008
6.6,-0.139141574501991,-2.52271872013807E-02,-1.19171750545502
6.7,-0.144908294081688,-2.58072800934315E-02,-1.21228718757629
6.8,-0.150809049606323,-2.63777878135443E-02,-1.23235261440277
6.9,-0.156800493597984,-2.69315112382174E-02,-1.25190246105194
7,-0.162836864590645,-2.74615865200758E-02,-1.2709264755249
7.1,-0.16887055337429,-2.79616974294186E-02,-1.28941559791565
7.2,-0.174852773547173,-2.84263789653778E-02,-1.30736267566681
7.3,-0.180734068155289,-2.88512259721756E-02,-1.32476186752319
7.4,-0.18646477162838,-2.92328782379627E-02,-1.34160792827606
7.5,-0.191995397210121,-2.95688398182392E-02,-1.35789716243744
7.6,-0.197277367115021,-2.98577435314655E-02,-1.3736264705658
7.7,-0.202263370156288,-3.00996899604797E-02,-1.3887939453125
7.8,-0.20690780878067,-3.02960891276598E-02,-1.40339839458466
7.9,-0.211167439818382,-0.030449403449893,-1.41743946075439
8,-0.215001851320267,-3.05630508810282E-02,-1.43091750144958
8.1,-0.218373894691467,-3.06413341313601E-02,-1.44383323192596
8.2,-0.221250176429749,-0.030689300969243,-1.45618772506714
8.3,-0.223601490259171,-3.07126622647047E-02,-1.467982172966
8.4,-0.225403040647507,-3.07178720831871E-02,-1.4792183637619
8.5,-0.226634740829468,-3.07121258229017E-02,-1.48989772796631
8.6,-0.227281749248505,-3.07028312236071E-02,-1.50002205371857
8.7,-0.227334544062614,-3.06974835693836E-02,-1.50959289073944
8.8,-0.226789176464081,-3.07038184255362E-02,-1.51861107349396
8.9,-0.225647702813148,-3.07296477258205E-02,-1.5270768404007
9,-0.223918184638023,-3.07822246104479E-02,-1.53499042987823
9.1,-0.221614763140678,-3.08687351644039E-02,-1.54235148429871
9.2,-0.218758061528206,-3.09959426522255E-02,-1.5491589307785
9.3,-0.215374886989594,-3.11701018363237E-02,-1.55541110038757
9.4,-0.211498647928238,-3.13966497778893E-02,-1.56110560894012
9.5,-0.207168653607368,-3.16800586879253E-02,-1.56623923778534
9.6,-0.202430471777916,-3.20242866873741E-02,-1.57080829143524
9.7,-0.197335138916969,-0.032432246953249,-1.57480823993683
9.8,-0.19193908572197,-3.29057089984417E-02,-1.57823371887207
9.9,-0.18630376458168,-0.033445667475462,-1.5810786485672
10,-0.180494889616966,-3.40519621968269E-02,-1.58333587646484
10.1,-0.174581676721573,-3.47232446074486E-02,-1.58499836921692
10.2,-0.168636426329613,-0.035456907004118,-1.58605813980103
10.3,-0.162734165787697,-3.62490713596344E-02,-1.58650696277618
10.4,-0.156951755285263,-3.70951741933823E-02,-1.58633625507355
10.5,-0.151367098093033,-3.79894413053989E-02,-1.58553695678711
10.6,-0.14605838060379,-0.038925226777792,-1.584099650383
10.7,-0.141102880239487,-3.98948937654495E-02,-1.5820152759552
10.8,-0.136575981974602,-4.08899821341038E-02,-1.5792750120163
10.9,-0.132550537586212,-0.041901882737875,-1.57587015628815
11,-0.12909571826458,-4.29214872419834E-02,-1.5717921257019
11.1,-0.126275196671486,-4.39388193190098E-02,-1.56703317165375
11.2,-0.124146610498428,-4.49437722563744E-02,-1.56158602237701
11.3,-0.122760072350502,-4.59262616932392E-02,-1.55544400215149
11.4,-0.122157566249371,-4.68760058283806E-02,-1.54860162734985
11.5,-0.122371450066566,-4.77825812995434E-02,-1.5410543680191
11.6,-0.123424142599106,-0.048636369407177,-1.53279852867126
11.7,-0.125327661633492,-4.94280457496643E-02,-1.52383160591125
11.8,-0.128082692623138,-5.01487590372562E-02,-1.51415228843689
11.9,-0.131678834557533,-5.07906638085842E-02,-1.50376069545746
12,-0.136094182729721,-5.13468198478222E-02,-1.4926586151123
12.1,-0.141295880079269,-5.18111474812031E-02,-1.48084890842438
12.2,-0.147240206599236,-5.21787032485008E-02,-1.46833574771881
12.3,-0.153872966766357,-5.24456538259983E-02,-1.45512521266937
12.4,-0.161130636930466,-5.26092350482941E-02,-1.44122445583344
12.5,-0.168941020965576,-5.26680685579777E-02,-1.42664265632629
12.6,-0.177224472165108,-5.26225194334984E-02,-1.41139030456543
12.7,-0.185895100235939,-5.24741597473621E-02,-1.39547967910767
12.8,-0.194861888885498,-5.22260218858719E-02,-1.37892401218414
12.9,-0.204030394554138,-5.18819652497768E-02,-1.36173808574677
13,-0.213304549455643,-0.051447082310915,-1.34393835067749
13.1,-0.222588151693344,-5.09278476238251E-02,-1.32554268836975
13.2,-0.231786221265793,-5.03313094377518E-02,-1.30657017230988
13.3,-0.240807086229324,-4.96652200818062E-02,-1.2870409488678
13.4,-0.249564036726952,-4.89381365478039E-02,-1.26697611808777
13.5,-0.257976174354553,-4.81587611138821E-02,-1.24639821052551
13.6,-0.265970021486282,-4.73358444869518E-02,-1.2253303527832
13.7,-0.273480266332626,-4.64781261980534E-02,-1.20379722118378
13.8,-0.280450195074081,-4.55947145819664E-02,-1.18182361125946
13.9,-0.286832064390182,-4.46939840912819E-02,-1.15943574905396
14,-0.292587339878082,-4.37840782105923E-02,-1.13666009902954
14.1,-0.297687351703644,-4.28729727864265E-02,-1.11352336406708
14.2,-0.302112460136414,-0.041967086493969,-1.09005331993103
14.3,-0.305851995944977,-4.10724245011806E-02,-1.06627821922302
14.4,-0.308903992176056,-4.01950664818287E-02,-1.04222595691681
14.5,-0.311274111270905,-3.93395572900772E-02,-1.01792514324188
14.6,-0.312975853681564,-3.85092385113239E-02,-0.993404150009155
14.7,-0.314029186964035,-3.77067513763905E-02,-0.968691825866699
14.8,-0.314460098743439,-3.69357988238335E-02,-0.943816840648651
14.9,-0.314299911260605,-3.61987613141537E-02,-0.918807744979858
15,-0.313584446907043,-3.54975201189518E-02,-0.893693029880524
15.1,-0.312353014945984,-3.48337329924107E-02,-0.868501126766205
15.2,-0.310648381710052,-3.42086218297482E-02,-0.843260288238525
15.3,-0.308515727519989,-3.36231142282486E-02,-0.817998468875885
15.4,-0.306001394987106,-3.30782122910023E-02,-0.792743265628815
15.5,-0.303152978420258,-3.25753130018711E-02,-0.767521977424622
15.6,-0.300017863512039,-3.21152992546558E-02,-0.742361724376678
15.7,-0.29664334654808,-3.17001156508923E-02,-0.717289090156555
15.8,-0.293075352907181,-0.031331829726696,-0.692330300807953
15.9,-0.289358675479889,-3.10124363750219E-02,-0.66751092672348
16,-0.285536199808121,-3.07443980127573E-02,-0.642855823040009
16.1,-0.281648546457291,-0.03053043410182,-0.618389189243317
16.2,-0.277733862400055,-3.03735043853521E-02,-0.59413468837738
16.3,-0.273827761411667,-3.02769709378481E-02,-0.570115268230438
16.4,-0.269963532686234,-3.02442070096731E-02,-0.546352863311768
16.5,-0.266172498464584,-3.02779208868742E-02,-0.522868931293488
16.6,-0.262484043836594,-3.03812623023987E-02,-0.499683916568756
16.7,-0.258925765752792,-3.05572934448719E-02,-0.476817518472672
16.8,-0.255523890256882,-3.08088026940823E-02,-0.454288482666016
16.9,-0.252303540706635,-3.11381779611111E-02,-0.432114452123642
17,-0.249289587140083,-3.15473489463329E-02,-0.410312443971634
17.1,-0.246506378054619,-3.20376381278038E-02,-0.388898998498917
17.2,-0.243977963924408,-3.26097868382931E-02,-0.367890000343323
17.3,-0.241728231310844,-3.32637578248978E-02,-0.34730052947998
17.4,-0.239781305193901,-3.39988358318806E-02,-0.327144593000412
17.5,-0.238161087036133,-3.48134189844131E-02,-0.307435840368271
17.6,-0.236890941858292,-3.57056707143784E-02,-0.288188070058823
17.7,-0.235993519425392,-3.66722457110882E-02,-0.269414275884628
17.8,-0.235490545630455,-3.77089828252792E-02,-0.251127183437347
17.9,-0.23540186882019,-3.88106070458889E-02,-0.233339786529541
18,-0.235744595527649,-3.99708524346352E-02,-0.216064766049385
18.1,-0.236532434821129,-4.11828681826591E-02,-0.199315115809441
18.2,-0.237774685025215,-4.24396954476833E-02,-0.183103978633881
18.3,-0.239475592970848,-4.37329486012459E-02,-0.167444780468941
18.4,-0.241633385419846,-4.50531281530857E-02,-0.152351140975952
18.5,-0.244239673018456,-4.63902913033962E-02,-0.13783697783947
18.6,-0.247278705239296,-4.77346256375313E-02,-0.123917184770107
18.7,-0.250726759433746,-4.90751750767231E-02,-0.110607035458088
18.8,-0.254552215337753,-5.04007302224636E-02,-9.79220569133759E-02
18.9,-0.258715689182281,-5.17004132270813E-02,-8.58779698610306E-02
19,-0.263170778751373,-5.29625825583935E-02,-7.44909197092056E-02
19.1,-0.26786407828331,-5.41763789951801E-02,-6.37777075171471E-02
19.2,-0.272736579179764,-5.53308129310608E-02,-5.37550188601017E-02
19.3,-0.277724415063858,-5.64155504107475E-02,-4.44400049746037E-02
19.4,-0.282760441303253,-5.74209690093994E-02,-3.58497761189938E-02
19.5,-0.287775486707687,-5.83371594548225E-02,-2.80011836439371E-02
19.6,-0.292699724435806,-5.91553337872028E-02,-2.09105778485537E-02
19.7,-0.297463953495026,-5.98677434027195E-02,-1.45943742245436E-02
19.8,-0.302000969648361,-6.04675710201263E-02,-9.06848907470703E-03
