Rotation
Line A: Structure Position, Actual Response - Global RX (15MW-Semi-sub) [°]
Line B: Structure Position, Actual Response - Global RY (15MW-Semi-sub) [°]
Line C: Structure Position, Actual Response - Global RZ (15MW-Semi-sub) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
0.0,0.0,0.0,0.0
0.1,6.83018743075081E-06,-3.60719459422398E-05,1.85268887435086E-04
0.2,4.09808744734619E-05,-1.22516677947715E-04,7.45344383176416E-04
0.3,1.14403817860875E-04,-2.49303091550246E-04,1.69175234623253E-03
0.4,2.43746151681989E-04,-3.98717413190752E-04,3.04327649064362E-03
0.5,4.34129353379831E-04,-5.5752950720489E-04,4.80941263958812E-03
0.6,7.07935367245227E-04,-7.00839853379875E-04,6.98846485465765E-03
0.7,1.07290933374316E-03,-8.1955932546407E-04,9.59332473576069E-03
0.8,1.53350806795061E-03,-8.9476874563843E-04,1.26122608780861E-02
0.9,2.10243836045265E-03,-9.12823365069926E-04,1.60412210971117E-02
1,2.78488430194557E-03,-8.60934029333293E-04,1.98665410280228E-02
1.1,3.59409768134356E-03,-7.19488365575671E-04,2.40722168236971E-02
1.2,4.53185243532062E-03,-4.85094438772649E-04,2.86398865282536E-02
1.3,5.60138281434774E-03,-1.30886153783649E-04,3.35473604500294E-02
1.4,6.81188376620412E-03,3.43849969794974E-04,0.038767758756876
1.5,8.15826840698719E-03,9.49651643168181E-04,4.42660674452782E-02
1.6,9.63972229510546E-03,1.70046836137772E-03,5.00119812786579E-02
1.7,1.12524330615997E-02,2.60149966925383E-03,5.59611208736897E-02
1.8,1.29934530705214E-02,3.6542103625834E-03,6.20844662189484E-02
1.9,1.48621816188097E-02,4.86539863049984E-03,6.83273822069168E-02
2,1.68516039848328E-02,6.22735731303692E-03,7.46552795171738E-02
2.1,1.89516339451075E-02,7.7545833773911E-03,8.10190886259079E-02
2.2,2.11554802954197E-02,9.43767465651035E-03,8.73731598258018E-02
2.3,0.023453239351511,1.12766185775399E-02,9.36718210577965E-02
2.4,0.025835532695055,1.32671426981688E-02,9.98689830303192E-02
2.5,2.82827690243721E-02,1.54109708964825E-02,0.105921097099781
2.6,3.07868607342243E-02,1.77012886852026E-02,0.111785493791103
2.7,3.33392471075058E-02,2.01244503259659E-02,0.117431446909904
2.8,0.035918615758419,2.26787831634283E-02,0.122809417545795
2.9,3.85232158005238E-02,2.53455154597759E-02,0.127890378236771
3,4.11197803914547E-02,2.81230341643095E-02,0.132635101675987
3.1,4.37116883695126E-02,3.10028027743101E-02,0.13701793551445
3.2,4.62681613862514E-02,3.39780747890472E-02,0.141011565923691
3.3,4.87891919910908E-02,3.70266884565353E-02,0.14459465444088
3.4,5.12559525668621E-02,4.01504188776016E-02,0.147748365998268
3.5,5.36479204893112E-02,4.33407835662365E-02,0.150455623865128
3.6,5.59633374214172E-02,4.65764962136745E-02,0.152712181210518
3.7,5.81816323101521E-02,4.98499386012554E-02,0.154503062367439
3.8,6.02921433746815E-02,5.31566888093948E-02,0.155820369720459
3.9,6.22896365821362E-02,5.64792826771736E-02,0.156675383448601
4,6.41587153077126E-02,5.98128885030746E-02,0.157067820429802
4.1,6.58931285142899E-02,6.31489753723145E-02,0.156999215483665
4.2,0.067486435174942,6.64769113063812E-02,0.15650562942028
4.3,6.89374879002571E-02,6.97813332080841E-02,0.155600920319557
4.4,7.02304765582085E-02,7.30588808655739E-02,0.154308155179024
4.5,7.13644623756409E-02,7.63008147478104E-02,0.15266951918602
4.6,7.23522678017616E-02,7.94962123036385E-02,0.150712668895721
4.7,7.31733217835426E-02,8.26427713036537E-02,0.14849528670311
4.8,7.38430097699165E-02,8.57287421822548E-02,0.146061733365059
4.9,7.43578523397446E-02,8.87510702013969E-02,0.14346444606781
5,7.47255459427834E-02,9.17007997632027E-02,0.140766397118568
5.1,7.49443247914314E-02,9.45691764354706E-02,0.138030827045441
5.2,7.50244706869125E-02,0.097355492413044,0.135321199893951
5.3,7.49668106436729E-02,0.100052706897259,0.132705569267273
5.4,7.47858807444572E-02,0.102657802402973,0.130253449082375
5.5,7.44987428188324E-02,0.105167277157307,0.128026887774467
5.6,7.40930289030075E-02,0.107570715248585,0.126088514924049
5.7,7.35918134450912E-02,0.109871491789818,0.124500408768654
5.8,7.30087608098984E-02,0.112075097858906,0.123325139284134
5.9,7.23464339971542E-02,0.114161409437656,0.122607983648777
6,0.071623682975769,0.116141781210899,0.122392363846302
6.1,7.08479806780815E-02,0.118008516728878,0.122713662683964
6.2,7.00340270996094E-02,0.119762234389782,0.123599968850613
6.3,0.069190613925457,0.121401838958263,0.125073224306107
6.4,6.83314651250839E-02,0.122930251061916,0.127141833305359
6.5,6.74654543399811E-02,0.124346062541008,0.129808634519577
6.6,0.066601350903511,0.125638902187347,0.133072450757027
6.7,6.57481923699379E-02,0.126823410391808,0.136917695403099
6.8,6.49247094988823E-02,0.127890884876251,0.141323879361153
6.9,6.41343221068382E-02,0.128851652145386,0.146258637309074
7,0.063386857509613,0.129700511693954,0.15168522298336
7.1,0.062690868973732,0.130444303154945,0.157571226358414
7.2,6.20552785694599E-02,0.131082117557526,0.16386204957962
7.3,6.14788196980953E-02,0.13161526620388,0.170516774058342
7.4,6.09742254018783E-02,0.132053449749947,0.177485823631287
7.5,6.05447515845299E-02,0.132394358515739,0.184714555740356
7.6,6.01976327598095E-02,0.132638365030289,0.192150130867958
7.7,5.99310956895351E-02,0.132788866758347,0.199739590287209
7.8,5.97508549690247E-02,0.132852464914322,0.207435145974159
7.9,5.96571490168572E-02,0.13282673060894,0.21518337726593
8,0.059658981859684,0.132720187306404,0.222934946417809
8.1,5.97439594566822E-02,0.132534101605415,0.230643004179001
